university_name,country,year,ranking_source,rank,score
Ulsan National Institute of Science and Technology,Republic of Korea,2026,QS,310,44.5
Universität Stuttgart,Germany,2026,QS,310,44.5
University of Miami,United States of America,2026,QS,314,44.3
University of Tasmania,Australia,2026,QS,314,44.3
Goethe Universität Frankfurt am Main,Germany,2026,QS,316,44
L.N. Gumilyov Eurasian National University,Kazakhstan,2026,QS,317,43.9
Universidade Federal do Rio de Janeiro,Brazil,2026,QS,317,43.9
Huazhong University of Science and Technology,China (Mainland),2026,QS,319,43.8
Bauman Moscow State Technical University,Russian Federation,2026,QS,320,43.5
Université Grenoble Alpes,France,2026,QS,321,43.4
University of Tehran,Iran (Islamic Republic of),2026,QS,322,43.3
Koc University,Türkiye,2026,QS,323,43.1
Sichuan University,China (Mainland),2026,QS,324,43
University of Jordan,Jordan,2026,QS,324,43
University of Leicester,United Kingdom,2026,QS,326,42.9
Universidade Nova de Lisboa,Portugal,2026,QS,327,42.8
Rutgers University – New Brunswick,United States of America,2026,QS,328,42.6
University of Delhi,India,2026,QS,328,42.6
University of Sharjah,United Arab Emirates,2026,QS,328,42.6
Kyung Hee University,Republic of Korea,2026,QS,331,42.5
Satbayev University (previously Kazakh Technical University named after K.I. Satpaev),Kazakhstan,2026,QS,331,42.5
York University,Canada,2026,QS,333,42.4
Indian Institute of Technology Guwahati (IITG),India,2026,QS,334,42.3
Sultan Qaboos University,Oman,2026,QS,334,42.3
Tufts University,United States of America,2026,QS,334,42.3
Universidad Politécnica de Madrid,Spain,2026,QS,334,42.3
University of Illinois Chicago (UIC),United States of America,2026,QS,334,42.3
Indian Institute of Technology Roorkee (IITR),India,2026,QS,339,42.2
Shandong University,China (Mainland),2026,QS,339,42.2
Xiamen University,China (Mainland),2026,QS,341,42.1
University of Oulu,Finland,2026,QS,342,42
