QS_Rank,QS_Previous_Rank,QS_University_Name,QS_Country,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,QS_Academic_Reputation_Score,THE_Rank,THE_University_Name,THE_Country,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Year,University_Name,Country,Year,Data_Source,QS_THE_Match_Status
741-750,751-760,University of Messina,Italy,Europe,L,FC,VH,Public,12.6,538.0,University of Messina,Italy,"14,308",22.7,6%,63 : 37,45.508,35.6,28.1,71.8,64.3,36.6,2026.0,University of Messina,Italy,2026,QS + THE,Matched
314,324,University of Miami,United States of America,Americas,L,FC,VH,Private not for Profit,24.5,227.0,University of Miami,United States,"18,574",10.9,12%,54 : 46,57.34049999999999,47.3,35.5,83.8,83.3,61.6,2026.0,University of Miami,United States,2026,QS + THE,Matched
45,44,University of Michigan-Ann Arbor,United States of America,Americas,XL,FC,VH,Public,99.3,23.0,University of Michigan-Ann Arbor,United States,"48,449",8.4,19%,52 : 48,86.9295,85.7,87.3,93.8,81.4,65.8,2026.0,University of Michigan-Ann Arbor,United States,2026,QS + THE,Matched
276,285,University of Milan,Italy,Europe,XL,FC,VH,Public,65.9,323.0,University of Milan,Italy,"44,429",17.4,7%,60 : 40,53.11849999999999,38.9,32.5,86.1,71.2,47.2,2026.0,University of Milan,Italy,2026,QS + THE,Matched
,,,,,,,,,,457.0,University of Milan-Bicocca,Italy,"28,650",24.9,5%,61 : 39,47.76999999999999,25.1,27.1,87.7,68.1,46.3,2026.0,University of Milan-Bicocca,Italy,2026,THE only,THE record not matched in QS
542,513,University of Milano-Bicocca,Italy,Europe,L,FO,VH,Public,28.6,,,,,,,,,,,,,,,University of Milano-Bicocca,Italy,2026,QS only,QS record not matched in THE
566,611-620,University of Minho,Portugal,Europe,L,FC,VH,Public,22.2,663.0,University of Minho,Portugal,"21,465",20.8,13%,55 : 45,42.1055,28.0,33.6,57.1,82.6,48.9,2026.0,University of Minho,Portugal,2026,QS + THE,Matched
210,203,University of Minnesota (System),United States of America,Americas,XL,FC,VH,Public,68.6,88.0,University of Minnesota,United States,"58,751",11.9,9%,55 : 45,67.47699999999999,60.3,59.0,84.1,99.9,44.7,2026.0,University of Minnesota (System),United States,2026,QS + THE,Matched
1201-1400,1201-1400,University of Miskolc,Hungary,Europe,M,FO,VH,Private not for Profit,9.0,1835.0,University of Miskolc,Hungary,"9,107",17.7,9%,51 : 49,21.346,23.8,14.7,21.2,24.3,36.4,2026.0,University of Miskolc,Hungary,2026,QS + THE,Matched
1001-1200,851-900,University of Mississippi,United States of America,Americas,L,CO,VH,Public,4.6,,,,,,,,,,,,,,,University of Mississippi,United States,2026,QS only,QS record not matched in THE
697,641-650,"University of Missouri, Columbia",United States of America,Americas,L,FC,VH,Public,17.2,,,,,,,,,,,,,,,"University of Missouri, Columbia",United States,2026,QS only,QS record not matched in THE
1001-1200,1001-1200,"University of Missouri, Kansas City",United States of America,Americas,M,CO,VH,Public,5.1,572.0,University of Missouri-Kansas City,United States,"9,605",12.3,13%,58 : 42,44.559000000000005,30.3,24.4,75.2,64.3,45.5,2026.0,"University of Missouri, Kansas City",United States,2026,QS + THE,Matched
1401+,1201-1400,University of Missouri Saint Louis,United States of America,Americas,M,CO,HI,Public,5.1,,,,,,,,,,,,,,,University of Missouri Saint Louis,United States,2026,QS only,QS record not matched in THE
,,,,,,,,,,1787.0,University of Miyazaki,Japan,"5,444",7.8,2%,37 : 63,22.543000000000003,27.0,12.6,23.2,49.6,26.4,2026.0,University of Miyazaki,Japan,2026,THE only,THE record not matched in QS
801-850,721-730,University of Modena and Reggio Emilia,Italy,Europe,L,FC,VH,Public,12.3,534.0,University of Modena and Reggio Emilia,Italy,"18,479",18.9,4%,54 : 46,45.593,34.7,25.7,72.9,77.9,38.9,2026.0,University of Modena and Reggio Emilia,Italy,2026,QS + THE,Matched
,,,,,,,,,,1195.0,University of Mohaghegh Ardabili,Iran,"15,213",34.4,10%,52 : 48,32.19799999999999,20.4,17.4,56.3,20.6,45.6,2026.0,University of Mohaghegh Ardabili,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1515.0,University of Monastir,Tunisia,"20,673",9.3,2%,68 : 32,27.0655,24.2,10.9,39.8,32.7,46.9,2026.0,University of Monastir,Tunisia,2026,THE only,THE record not matched in QS
781-790,781-790,University of Mons,Belgium,Europe,M,CO,VH,Public,7.0,648.0,University of Mons,Belgium,"8,374",26.7,17%,56 : 44,42.441,27.2,30.9,58.4,66.4,70.4,2026.0,University of Mons,Belgium,2026,QS + THE,Matched
,,,,,,,,,,1910.0,University of Montenegro,Montenegro,"15,557",21.1,2%,61 : 39,19.6475,14.0,12.1,24.3,27.4,48.3,2026.0,University of Montenegro,Montenegro,2026,THE only,THE record not matched in QS
168,159,University of Montreal,Canada,Americas,XL,FC,VH,Public,66.1,,,,,,,,,,,,,,,University of Montreal,Canada,2026,QS only,QS record not matched in THE
1401+,,University of Moratuwa,Sri Lanka,Asia,M,SP,VH,Public,6.0,1740.0,University of Moratuwa,Sri Lanka,"11,079",22.1,0%,40 : 60,23.483500000000003,12.9,14.5,40.2,36.2,26.2,2026.0,University of Moratuwa,Sri Lanka,2026,QS + THE,Matched
1201-1400,,University of Mosul,Iraq,Asia,XL,FC,HI,Public,7.3,2063.0,University of Mosul,Iraq,"57,684",13.7,0%,56 : 44,16.444499999999998,19.3,10.5,16.9,29.9,19.2,2026.0,University of Mosul,Iraq,2026,QS + THE,Matched
664,711-720,University of Mumbai,India,Asia,M,FC,VH,Public,11.3,,,,,,,,,,,,,,,University of Mumbai,India,2026,QS only,QS record not matched in THE
350,367,University of Münster,Germany,Europe,L,FC,VH,Public,42.3,198.0,University of Münster,Germany,"26,499",23.7,7%,,58.9625,43.9,47.2,83.2,82.1,54.4,2026.0,University of Münster,Germany,2026,QS + THE,Matched
1001-1200,901-950,University of Murcia,Spain,Europe,L,FC,VH,Public,15.3,1045.0,University of Murcia,Spain,"26,754",15.2,5%,63 : 37,34.6795,25.6,19.4,55.2,55.1,36.5,2026.0,University of Murcia,Spain,2026,QS + THE,Matched
1001-1200,901-950,University of Nairobi,Kenya,Africa,XL,FC,HI,Public,12.8,1578.0,University of Nairobi,Kenya,"52,216",23.3,2%,45 : 55,25.8745,15.9,16.1,39.7,22.5,49.4,2026.0,University of Nairobi,Kenya,2026,QS + THE,Matched
,,,,,,,,,,1891.0,University of Namibia,Namibia,"25,403",18.7,3%,63 : 37,20.2855,14.5,9.0,27.2,17.7,60.4,2026.0,University of Namibia,Namibia,2026,THE only,THE record not matched in QS
801-850,,University of Namur,Belgium,Europe,M,FO,VH,,6.4,842.0,University of Namur,Belgium,"6,480",20.0,17%,58 : 42,38.14,26.8,26.7,49.0,62.4,70.6,2026.0,University of Namur,Belgium,2026,QS + THE,Matched
379,347,University of Naples - Federico II,Italy,Europe,XL,FC,VH,Public,47.8,348.0,University of Naples Federico II,Italy,"53,650",17.5,3%,57 : 43,51.732,40.0,31.8,83.9,72.5,35.2,2026.0,University of Naples - Federico II,Italy,2026,QS + THE,Matched
262,249,University of Navarra,Spain,Europe,L,FC,HI,Private not for Profit,40.8,293.0,University of Navarra,Spain,"12,748",15.3,30%,56 : 44,54.641,37.2,34.1,81.9,90.7,74.4,2026.0,University of Navarra,Spain,2026,QS + THE,Matched
711-720,701-710,University of Nebraska - Lincoln,United States of America,Americas,L,CO,VH,Public,14.3,548.0,University of Nebraska-Lincoln,United States,"23,880",16.7,7%,50 : 50,45.26199999999999,33.1,31.4,63.9,68.6,59.7,2026.0,University of Nebraska - Lincoln,United States,2026,QS + THE,Matched
,,,,,,,,,,513.0,University of Nebraska Medical Center,United States,"3,390",1.9,8%,71 : 29,45.9465,38.5,17.3,79.4,67.3,40.8,2026.0,University of Nebraska Medical Center,United States,2026,THE only,THE record not matched in QS
,,,,,,,,,,1348.0,University of Nebraska Omaha,United States,"13,614",17.1,5%,57 : 43,29.5085,17.9,16.9,49.8,41.8,36.2,2026.0,University of Nebraska Omaha,United States,2026,THE only,THE record not matched in QS
,,,,,,,,,,628.0,University of Neuchâtel,Switzerland,"4,365",10.7,23%,60 : 40,42.90449999999999,35.0,24.2,57.8,47.1,84.5,2026.0,University of Neuchâtel,Switzerland,2026,THE only,THE record not matched in QS
,,,,,,,,,,647.0,"University of Nevada, Las Vegas",United States,"26,545",22.1,3%,57 : 43,42.452,31.0,22.9,71.9,52.4,40.0,2026.0,"University of Nevada, Las Vegas",United States,2026,THE only,THE record not matched in QS
1001-1200,,University of Nevada - Reno,United States of America,Americas,L,FC,HI,Public,6.4,,,,,,,,,,,,,,,University of Nevada - Reno,United States,2026,QS only,QS record not matched in THE
622,681-690,University of New Brunswick,Canada,Americas,M,CO,VH,Public,7.1,,,,,,,,,,,,,,,University of New Brunswick,Canada,2026,QS only,QS record not matched in THE
,,,,,,,,,,706.0,University of New Brunswick UNB,Canada,"8,975",12.4,22%,53 : 47,41.421,23.8,19.5,67.1,63.5,81.0,2026.0,University of New Brunswick UNB,Canada,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,University of New England,Australia,Oceania,L,CO,VH,Public,12.5,,,,,,,,,,,,,,,University of New England,Australia,2026,QS only,QS record not matched in THE
1001-1200,1001-1200,University of New Hampshire,United States of America,Americas,L,CO,VH,Public,6.0,,,,,,,,,,,,,,,University of New Hampshire,United States,2026,QS only,QS record not matched in THE
751-760,791-800,University of New Mexico,United States of America,Americas,L,FC,VH,Public,14.2,,,,,,,,,,,,,,,University of New Mexico,United States,2026,QS only,QS record not matched in THE
20,19,The University of New South Wales,Australia,Oceania,XL,FC,VH,Public,96.3,,,,,,,,,,,,,,,The University of New South Wales,Australia,2026,QS only,QS record not matched in THE
227,179,The University of Newcastle,Australia,Oceania,L,FC,VH,Public,36.0,289.0,University of Newcastle,Australia,"22,320",29.2,20%,58 : 42,54.767,30.0,36.8,84.9,86.5,84.2,2026.0,The University of Newcastle,Australia,2026,QS + THE,Matched
,,,,,,,,,,514.0,University of Nicosia,Cyprus,"6,398",17.2,65%,56 : 44,45.9055,19.3,24.1,81.3,51.7,90.2,2026.0,University of Nicosia,Cyprus,2026,THE only,THE record not matched in QS
,,,,,,,,,,1398.0,University of Nigeria Nsukka,Nigeria,"45,307",11.1,1%,46 : 54,28.637,32.0,11.0,40.3,20.3,41.4,2026.0,University of Nigeria Nsukka,Nigeria,2026,THE only,THE record not matched in QS
761-770,,University of Nizwa,Oman,Asia,S,CO,VH,Private not for Profit,11.0,500.0,University of Nizwa,Oman,"3,498",8.9,11%,77 : 23,46.2745,28.1,26.0,76.2,34.0,83.0,2026.0,University of Nizwa,Oman,2026,QS + THE,Matched
,,,,,,,,,,78.0,University of North Carolina at Chapel Hill,United States,"34,813",8.0,10%,61 : 39,70.27349999999998,63.8,59.6,91.3,75.9,49.9,2026.0,University of North Carolina at Chapel Hill,United States,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,University of North Carolina at Charlotte,United States of America,Americas,L,CO,VH,Public,6.7,641.0,University of North Carolina at Charlotte,United States,"27,004",21.1,8%,50 : 50,42.5565,23.9,24.5,76.2,60.9,41.4,2026.0,University of North Carolina at Charlotte,United States,2026,QS + THE,Matched
1201-1400,1201-1400,University of North Carolina at Greensboro,United States of America,Americas,L,FO,VH,Public,3.6,,,,,,,,,,,,,,,University of North Carolina at Greensboro,United States,2026,QS only,QS record not matched in THE
140,155,"University of North Carolina, Chapel Hill",United States of America,Americas,L,FC,VH,Public,72.2,,,,,,,,,,,,,,,"University of North Carolina, Chapel Hill",United States,2026,QS only,QS record not matched in THE
,,,,,,,,,,1716.0,"University of the North, Colombia",Colombia,"11,592",16.9,2%,49 : 51,23.832,19.8,14.4,30.1,24.0,51.0,2026.0,"University of the North, Colombia",Colombia,2026,THE only,THE record not matched in QS
901-950,1001-1200,University of North Texas,United States of America,Americas,XL,FC,HI,Public,10.1,,,,,,,,,,,,,,,University of North Texas,United States,2026,QS only,QS record not matched in THE
1201-1400,1001-1200,The University of Northampton,United Kingdom,Europe,L,CO,MD,Public,3.4,1527.0,University of Northampton,United Kingdom,"14,775",21.7,46%,63 : 37,26.83,16.1,11.0,40.4,18.7,80.3,2026.0,The University of Northampton,United Kingdom,2026,QS + THE,Matched
,,,,,,,,,,1257.0,University of Northern British Columbia (UNBC),Canada,"3,008",15.3,15%,62 : 38,31.111,21.0,22.5,44.4,19.9,57.0,2026.0,University of Northern British Columbia (UNBC),Canada,2026,THE only,THE record not matched in QS
294,316,University of Notre Dame,United States of America,Americas,L,CO,VH,Private not for Profit,38.0,195.0,University of Notre Dame,United States,"12,781",10.5,14%,47 : 53,59.0505,52.8,45.8,73.5,72.5,69.9,2026.0,University of Notre Dame,United States,2026,QS + THE,Matched
1201-1400,1401+,"The University of Notre Dame, Australia",Australia,Oceania,M,FC,HI,Private not for Profit,3.4,895.0,The University of Notre Dame Australia,Australia,"7,652",14.9,5%,72 : 28,37.2725,32.4,18.0,56.5,27.8,59.1,2026.0,"The University of Notre Dame, Australia",Australia,2026,QS + THE,Matched
97,108,The University of Nottingham,United Kingdom,Europe,XL,FC,VH,Public,75.4,146.0,University of Nottingham,United Kingdom,"35,470",15.5,28%,55 : 45,62.027,45.8,43.3,87.3,72.1,91.8,2026.0,The University of Nottingham,United Kingdom,2026,QS + THE,Matched
,,,,,,,,,,922.0,University of Nova Gorica,Slovenia,448,3.0,61%,48 : 52,36.867,29.9,19.0,49.5,29.6,86.7,2026.0,University of Nova Gorica,Slovenia,2026,THE only,THE record not matched in QS
1201-1400,1001-1200,University of Novi Sad,Serbia,Europe,XL,FC,HI,Public,12.5,1679.0,University of Novi Sad,Serbia,"49,296",14.0,7%,58 : 42,24.3395,19.9,11.5,32.8,59.6,38.8,2026.0,University of Novi Sad,Serbia,2026,QS + THE,Matched
,,,,,,,,,,1221.0,"University of Occupational and Environmental Health, Japan",Japan,"1,145",2.4,1%,53 : 47,31.8165,29.0,11.9,53.1,53.7,23.1,2026.0,"University of Occupational and Environmental Health, Japan",Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,1099.0,University of Okara,Pakistan,"19,640",145.5,0%,36 : 64,33.733999999999995,8.6,16.5,73.4,16.8,49.6,2026.0,University of Okara,Pakistan,2026,THE only,THE record not matched in QS
664,701-710,University of Oklahoma,United States of America,Americas,L,FC,VH,Public,14.3,,,,,,,,,,,,,,,University of Oklahoma,United States,2026,QS only,QS record not matched in THE
1401+,1401+,University of Oradea,Romania,Europe,L,FC,MD,Public,7.5,1810.0,University of Oradea,Romania,"18,847",19.0,5%,60 : 40,21.87,16.5,13.3,31.7,18.7,38.5,2026.0,University of Oradea,Romania,2026,QS + THE,Matched
751-760,801-850,University of Oregon,United States of America,Americas,L,CO,VH,Public,23.2,458.0,University of Oregon,United States,"22,659",13.7,5%,59 : 41,47.7035,34.7,30.0,75.7,73.8,41.4,2026.0,University of Oregon,United States,2026,QS + THE,Matched
91,86,The University of Osaka,Japan,Asia,L,FC,VH,Public,90.5,152.0,The University of Osaka,Japan,"22,367",10.4,12%,33 : 67,61.844,65.9,64.9,53.3,100.0,47.9,2026.0,The University of Osaka,Japan,2026,QS + THE,Matched
119,119,University of Oslo,Norway,Europe,L,FC,VH,Public,67.8,114.0,University of Oslo,Norway,"20,102",11.7,18%,64 : 36,65.16149999999999,47.8,52.5,90.3,75.2,76.5,2026.0,University of Oslo,Norway,2026,QS + THE,Matched
1201-1400,1201-1400,University of Ostrava,Czechia,Europe,M,FC,HI,Public,8.0,1635.0,University of Ostrava,Czechia,"9,219",16.4,12%,70 : 30,25.2135,20.0,16.7,32.7,20.7,51.1,2026.0,University of Ostrava,Czechia,2026,QS + THE,Matched
197,214,University of Otago,New Zealand,Oceania,L,FC,VH,Public,60.0,377.0,University of Otago,New Zealand,"18,703",19.9,18%,60 : 40,50.581,34.1,34.3,72.4,69.3,81.1,2026.0,University of Otago,New Zealand,2026,QS + THE,Matched
219,189,University of Ottawa,Canada,Americas,XL,FC,VH,Public,35.8,188.0,University of Ottawa,Canada,"40,753",28.7,29%,58 : 42,59.527,38.2,44.5,85.4,81.7,86.2,2026.0,University of Ottawa,Canada,2026,QS + THE,Matched
342,344,University of Oulu,Finland,Europe,M,FC,VH,Public,23.0,272.0,University of Oulu,Finland,"11,334",22.0,10%,56 : 44,55.6275,36.7,39.5,85.8,70.9,63.6,2026.0,University of Oulu,Finland,2026,QS + THE,Matched
,,,,,,,,,,1701.0,University of Oum El Bouaghi,Algeria,"12,471",11.0,0%,63 : 37,24.07,23.8,14.5,30.8,30.1,32.0,2026.0,University of Oum El Bouaghi,Algeria,2026,THE only,THE record not matched in QS
,,,,,,,,,,1082.0,University of Oviedo,Spain,"18,268",9.0,7%,53 : 47,34.0575,30.3,19.8,48.0,48.3,40.6,2026.0,University of Oviedo,Spain,2026,THE only,THE record not matched in QS
4,3,University of Oxford,United Kingdom,Europe,L,FC,VH,Public,100.0,1.0,University of Oxford,United Kingdom,"22,005",10.4,43%,52 : 48,98.21,97.2,100.0,97.7,99.9,96.4,2026.0,University of Oxford,United Kingdom,2026,QS + THE,Matched
1401+,1201-1400,University of the Pacific,United States of America,Americas,M,CO,HI,Private not for Profit,1.8,,,,,,,,,,,,,,,University of the Pacific,United States,2026,QS only,QS record not matched in THE
233,236,University of Padova,Italy,Europe,XL,FC,VH,Public,73.5,,,,,,,,,,,,,,,University of Padova,Italy,2026,QS only,QS record not matched in THE
,,,,,,,,,,242.0,University of Padua,Italy,"49,946",30.1,11%,58 : 42,56.724,46.4,41.0,80.0,78.9,53.2,2026.0,University of Padua,Italy,2026,THE only,THE record not matched in QS
,,,,,,,,,,600.0,University of Palermo,Italy,"28,637",32.9,2%,58 : 42,43.6415,33.3,30.5,66.7,54.7,37.0,2026.0,University of Palermo,Italy,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,University of Pannonia,Hungary,Europe,S,FO,VH,Public,6.1,1652.0,University of Pannonia,Hungary,"5,317",20.0,6%,49 : 51,24.764,22.7,17.7,29.9,31.8,35.9,2026.0,University of Pannonia,Hungary,2026,QS + THE,Matched
1201-1400,1201-1400,University of Pardubice,Czechia,Europe,M,CO,VH,Public,5.2,1785.0,University of Pardubice,Czechia,"7,339",15.3,9%,55 : 45,22.61,19.7,18.6,22.8,37.8,40.7,2026.0,University of Pardubice,Czechia,2026,QS + THE,Matched
1001-1200,951-1000,University of Parma,Italy,Europe,XL,FC,HI,Public,13.6,769.0,University of Parma,Italy,"31,624",31.5,9%,59 : 41,39.65849999999999,20.9,23.9,70.1,64.8,39.2,2026.0,University of Parma,Italy,2026,QS + THE,Matched
,,,,,,,,,,619.0,University of Passau,Germany,"7,360",45.5,14%,59 : 41,43.2325,32.7,37.0,52.5,70.4,57.2,2026.0,University of Passau,Germany,2026,THE only,THE record not matched in QS
,,,,,,,,,,1868.0,University of Passo Fundo (UPF),Brazil,"6,729",15.2,0%,56 : 44,20.7185,20.8,12.0,27.5,19.0,27.9,2026.0,University of Passo Fundo (UPF),Brazil,2026,THE only,THE record not matched in QS
721-730,761-770,University of Patras,Greece,Europe,L,FC,VH,Public,16.8,983.0,University of Patras,Greece,"28,311",27.5,6%,51 : 49,35.7945,18.5,23.6,60.0,73.2,34.2,2026.0,University of Patras,Greece,2026,QS + THE,Matched
,,,,,,,,,,1718.0,University of Pau and Pays de l’Adour,France,"13,266",13.4,16%,53 : 47,23.806,24.4,12.5,20.0,31.7,76.2,2026.0,University of Pau and Pays de l’Adour,France,2026,THE only,THE record not matched in QS
,,,,,,,,,,368.0,University of Pavia,Italy,"17,543",30.2,12%,59 : 41,50.8975,38.9,31.9,77.0,78.9,52.2,2026.0,University of Pavia,Italy,2026,THE only,THE record not matched in QS
741-750,771-780,University of Pecs,Hungary,Europe,L,FC,HI,Public,20.1,1187.0,University of Pécs,Hungary,"15,829",15.2,24%,60 : 40,32.287499999999994,32.4,18.7,38.3,40.6,55.9,2026.0,University of Pecs,Hungary,2026,QS + THE,Matched
15,11,University of Pennsylvania,United States of America,Americas,L,FC,VH,Private not for Profit,98.9,14.0,University of Pennsylvania,United States,"22,422",6.6,26%,55 : 45,90.80249999999998,88.1,90.3,96.1,97.9,78.4,2026.0,University of Pennsylvania,United States,2026,QS + THE,Matched
1201-1400,1201-1400,University of Peradeniya,Sri Lanka,Asia,L,CO,HI,Public,10.4,1420.0,University of Peradeniya,Sri Lanka,"20,419",26.2,0%,60 : 40,28.4395,12.8,12.4,56.4,30.0,39.3,2026.0,University of Peradeniya,Sri Lanka,2026,QS + THE,Matched
,,,,,,,,,,2130.0,University of Pernambuco,Brazil,"19,417",14.1,,,14.677,17.6,9.3,13.2,19.7,27.2,2026.0,University of Pernambuco,Brazil,2026,THE only,THE record not matched in QS
901-950,901-950,University of Peshawar,Pakistan,Asia,L,FO,VH,Public,9.4,1117.0,University of Peshawar,Pakistan,"19,301",34.0,0%,24 : 76,33.387,24.0,12.0,59.1,34.8,49.4,2026.0,University of Peshawar,Pakistan,2026,QS + THE,Matched
1201-1400,,University of Petra,Jordan,Asia,M,CO,HI,Private for Profit,8.8,934.0,University of Petra,Jordan,"5,154",17.3,18%,54 : 46,36.665,15.2,12.4,76.1,17.5,67.4,2026.0,University of Petra,Jordan,2026,QS + THE,Matched
